topic_id,count,name,keywords,scores
0,13662,0_spf_police_grf_scdf,"spf, police, grf, scdf, saf, hta, transcom, pobc, procom, inspector","0.0372, 0.0078, 0.0071, 0.0060, 0.0050, 0.0048, 0.0044, 0.0037, 0.0037, 0.0037"
1,10871,1_food_cookhouse_eat_chicken,"food, cookhouse, eat, chicken, canteen, rice, snacks, meal, muslim, rations","0.0316, 0.0243, 0.0128, 0.0104, 0.0101, 0.0096, 0.0074, 0.0071, 0.0064, 0.0064"
2,8837,2_women_men_gender_conscription,"women, men, gender, conscription, females, female, equality, serve, male, national","0.0286, 0.0130, 0.0123, 0.0105, 0.0092, 0.0089, 0.0078, 0.0065, 0.0062, 0.0060"
3,8731,3_ooc_term_posting_scs,"ooc, term, posting, scs, posted, ooced, recourse, pro, oot, mc","0.0478, 0.0074, 0.0065, 0.0061, 0.0053, 0.0052, 0.0051, 0.0050, 0.0047, 0.0046"
4,6940,4_ndu_commando_cdo_va,"ndu, commando, cdo, va, commandos, assessment, cdc, vocational, diver, test","0.0267, 0.0221, 0.0150, 0.0143, 0.0125, 0.0072, 0.0058, 0.0057, 0.0054, 0.0048"
5,8201,5_pes_mental_status_condition,"pes, mental, status, condition, health, medical, depression, affect, jobs, conditions","0.0210, 0.0066, 0.0065, 0.0055, 0.0053, 0.0047, 0.0044, 0.0043, 0.0038, 0.0037"
6,6712,6_outfield_field_rash_heat,"outfield, field, rash, heat, shellscrape, powder, camo, wet, rain, camp","0.0363, 0.0125, 0.0089, 0.0084, 0.0081, 0.0078, 0.0071, 0.0068, 0.0061, 0.0057"
7,5801,7_mono_intake_guards_infantry,"mono, intake, guards, infantry, batch, intakes, armour, 1sir, ptp, chance","0.0810, 0.0400, 0.0162, 0.0105, 0.0087, 0.0084, 0.0076, 0.0066, 0.0061, 0.0060"
8,6359,8_him_bf_he_relationship,"him, bf, he, relationship, gf, his, her, boyfriend, together, time","0.0168, 0.0134, 0.0120, 0.0105, 0.0101, 0.0082, 0.0073, 0.0056, 0.0053, 0.0051"
9,4776,9_hair_cut_shave_haircut,"hair, cut, shave, haircut, barber, botak, shaving, head, shaved, short","0.0638, 0.0338, 0.0328, 0.0202, 0.0157, 0.0113, 0.0106, 0.0098, 0.0090, 0.0085"
10,6097,10_book_bookout_confinement_out,"book, bookout, confinement, out, friday, sunday, booking, weekend, week, day","0.0449, 0.0164, 0.0129, 0.0116, 0.0112, 0.0091, 0.0078, 0.0075, 0.0071, 0.0068"
11,5251,11_leave_block_leaves_days,"leave, block, leaves, days, overseas, off, annual, apply, 14, offs","0.0470, 0.0172, 0.0162, 0.0120, 0.0090, 0.0087, 0.0080, 0.0075, 0.0064, 0.0062"
12,4777,12_driving_license_driver_drive,"driving, license, driver, drive, transport, class, course, drivers, lessons, mileage","0.0373, 0.0214, 0.0158, 0.0157, 0.0133, 0.0109, 0.0106, 0.0088, 0.0069, 0.0068"
13,10988,13_ns_life_people_years,"ns, life, people, years, it, me, time, things, you, feel","0.0107, 0.0051, 0.0042, 0.0035, 0.0035, 0.0034, 0.0034, 0.0034, 0.0032, 0.0032"
14,8096,14_bmt_life_unit_time,"bmt, life, unit, time, training, during, bmtc, you, your, weeks","0.0227, 0.0045, 0.0041, 0.0036, 0.0035, 0.0035, 0.0032, 0.0031, 0.0031, 0.0031"
